frequency,frequency_cm,dos,dos_weighted,dos_convoluted,dos_weighted_convoluted,2w_dos_weighted
-42.767227261399995,-1426.5611465582633,0.0,0.0,3.986229573473607e-11,4.551198380323928e-14,6.629946595381505e-08
-42.7105819273,-1424.671661596637,0.0,0.0,2.437377057456566e-10,2.8090297146927255e-13,1.3579265220232468e-07
-42.6539365932,-1422.7821766350107,0.0,0.0,1.312999182560244e-09,1.5274524414241999e-12,2.7535234227066013e-07
-42.597291259100004,-1420.8926916733847,0.0,0.0,5.9310099452772505e-09,6.964686237236166e-12,5.436591648081179e-07
-42.5406459249,-1419.0032067084223,0.0,0.0,2.3335493391910516e-08,2.7660489114671346e-11,1.34666055152848e-06
-42.4840005908,-1417.113721746796,0.0,0.0,9.56797654759497e-08,1.1448094425983438e-10,4.474206956275137e-06
-42.4273552567,-1415.2242367851695,0.0,0.0,3.960011399181196e-07,4.782783194755875e-10,1.1248101204945332e-05
-42.3707099226,-1413.3347518235435,0.0,0.0,1.2864359323768439e-06,1.5683564252587417e-09,1.9483145936678862e-05
-42.3140645885,-1411.4452668619172,0.0,0.0,3.1079782646225977e-06,3.82479367638442e-09,2.6795111177226124e-05
-42.257419254300004,-1409.555781896955,0.0,0.0,6.273872742209853e-06,7.793635052506073e-09,3.386867435148755e-05
-42.2007739202,-1407.6662969353285,0.0,0.0,1.1178790236589502e-05,1.4017620652918119e-08,4.187715562142109e-05
-42.144128586099995,-1405.7768119737023,0.0,0.0,1.8150364511773505e-05,2.297422048481659e-08,5.0685591295913166e-05
-42.087483252,-1403.887327012076,0.0,0.0,2.757181554636708e-05,3.5228775803423365e-08,5.978729742050524e-05
-42.0308379179,-1401.9978420504497,0.0,0.0,3.984805296592835e-05,5.1394527886210666e-08,6.855593099332214e-05
-41.9741925837,-1400.1083570854878,0.0,0.0,5.548964655405857e-05,7.224373182928406e-08,7.659358153774194e-05
-41.9175472496,-1398.2188721238613,0.0,0.0,7.505102645297266e-05,9.86334312724207e-08,8.460785164996054e-05
-41.860901915499994,-1396.3293871622348,0.0,0.0,9.924245726432952e-05,1.3165737076113962e-07,9.333476380862351e-05
-41.8042565814,-1394.4399022006085,0.0,0.0,0.00012886335110496536,1.725671506293918e-07,0.00010240185342867453
-41.7476112473,-1392.5504172389822,0.0,0.0,0.00016481908440344018,2.2280150707426835e-07,0.00011140775743232849
-41.6909659131,-1390.6609322740203,0.0,0.0,0.00020824642335007525,2.8416526719137986e-07,0.00012103516949626888
-41.634320579000004,-1388.771447312394,0.0,0.0,0.0002603308645177092,3.585938279888514e-07,0.00013193018846825456
-41.5776752449,-1386.8819623507675,0.0,0.0,0.00032250469513479623,4.484332402571027e-07,0.0001433906850498813
-41.521029910799996,-1384.992477389141,0.0,0.0,0.00039638251126792885,5.563674931139817e-07,0.00015470191893151512
-41.4643845766,-1383.102992424179,0.0,0.0,0.0004836466922298582,6.852702516898755e-07,0.00016657901611988074
-41.4077392425,-1381.2135074625528,0.0,0.0,0.0005863379090360169,8.386271566524712e-07,0.0001798762108562018
-41.3510939084,-1379.3240225009265,0.0,0.0,0.0007065431722163874,1.0201119268923715e-06,0.000194447063869427
-41.2944485743,-1377.4345375393,0.0,0.0,0.0008466894667344729,1.234020401529573e-06,0.00020988498744020368
-41.237803240199995,-1375.5450525776735,0.0,0.0,0.0010096010070021625,1.4853812083843753e-06,0.00022579449679725606
-41.181157905999996,-1373.6555676127116,0.0,0.0,0.0011984804774296386,1.7799590433242494e-06,0.00024207774824782602
-41.1245125719,-1371.7660826510853,0.0,0.0,0.0014177038156682313,2.1254772318434575e-06,0.00025986925000695457
-41.0678672378,-1369.876597689459,0.0,0.0,0.001673182185532833,2.532253797687935e-06,0.00028013886451423503
-41.0112219037,-1367.9871127278327,0.0,0.0,0.0019732760904974046,3.0147145955639882e-06,0.0003017951325918055
-40.9545765696,-1366.0976277662064,0.0,0.0,0.002323170174897326,3.5829007180101914e-06,0.0003236296077664011
-40.897931235399994,-1364.208142801244,0.0,0.0,0.002727595500857219,4.246488205374421e-06,0.00034622404755372816
-40.8412859013,-1362.3186578396178,0.0,0.0,0.0031883634381358722,5.010885288876807e-06,0.0003705687413317982
-40.7846405672,-1360.4291728779917,0.0,0.0,0.003704991804698416,5.878016349832632e-06,0.00039738036696836197
-40.7279952331,-1358.5396879163654,0.0,0.0,0.004274813416495231,6.846325803048024e-06,0.00042682450725916546
-40.671349899,-1356.650202954739,0.0,0.0,0.004896516214608997,7.916339449861412e-06,0.00045705707184344794
-40.6147045648,-1354.760717989777,0.0,0.0,0.005569149491721182,9.089141449508389e-06,0.0004866286199874431
-40.558059230699996,-1352.8712330281505,0.0,0.0,0.0062917308966665,1.036575445259065e-05,0.0005179684668355333
-40.5014138966,-1350.9817480665242,0.0,0.0,0.007065132189364638,1.1750273212933766e-05,0.0005535072147642645
-40.4447685625,-1349.092263104898,0.0,0.0,0.007889164439730591,1.3245114937189914e-05,0.0005913894757731929
-40.3881232283,-1347.202778139936,0.0,0.0,0.008763230229001807,1.4852042337857027e-05,0.0006293089054197173
-40.3314778942,-1345.3132931783096,0.0,0.0,0.009684168564877714,1.6568440578119673e-05,0.0006678029276747363
-40.274832560099995,-1343.423808216683,0.0,0.0,0.010647373986763617,1.838904560287226e-05,0.0007082636885650527
-40.218187226,-1341.5343232550567,0.0,0.0,0.01165061990040386,2.031249350541511e-05,0.0007525163296637806
-40.1615418919,-1339.6448382934304,0.0,0.0,0.012691488883116879,2.2336984069133643e-05,0.0008014873989364116
-40.1048965577,-1337.7553533284686,0.0,0.0,0.013767061785146672,2.4459711692871964e-05,0.0008518447127203108
-40.0482512236,-1335.865868366842,0.0,0.0,0.01487512399649048,2.6678981940630882e-05,0.0009013884082664966
-39.9916058895,-1333.9763834052158,0.0,0.0,0.016011698999158552,2.898980299952002e-05,0.00095730091809643
-39.9349605554,-1332.0868984435892,0.0,0.0,0.01717391630885876,3.1388975171070764e-05,0.0010255847693663876
-39.8783152213,-1330.197413481963,0.0,0.0,0.018357469667383434,3.387048558599534e-05,0.0010969521495238954
-39.8216698871,-1328.307928517001,0.0,0.0,0.019558052943000958,3.642805568503318e-05,0.0011668268557490143
-39.765024553,-1326.4184435553748,0.0,0.0,0.020772793413453904,3.90578271024505e-05,0.0012667444943995204
-39.7083792189,-1324.5289585937483,0.0,0.0,0.021997714400632154,4.175366967758636e-05,0.0014203336418944406
-39.651733884799995,-1322.639473632122,0.0,0.0,0.023233546231965732,4.4518207711443677e-05,0.00157835334982003
-39.595088550599996,-1320.7499886671599,0.0,0.0,0.024451593687094878,4.729723067948301e-05,0.0016901318920879444
-39.5384432165,-1318.8605037055336,0.0,0.0,0.02562891193718425,5.0045686526694386e-05,0.0017801249139602615
-39.4817978824,-1316.9710187439073,0.0,0.0,0.026726879256557458,5.268595490421735e-05,0.0018795930941415363
-39.4251525483,-1315.081533782281,0.0,0.0,0.02771427011778676,5.515219322056505e-05,0.001966091779827858
-39.368507214199994,-1313.1920488206545,0.0,0.0,0.028522865369846242,5.730171031308645e-05,0.0020145130263417104
-39.311861879999995,-1311.3025638556924,0.0,0.0,0.029132377126142972,5.908371517747859e-05,0.00204746966221128
-39.2552165459,-1309.4130788940663,0.0,0.0,0.029518178812815134,6.043675878016693e-05,0.0020865791983140257
-39.1985712118,-1307.52359393244,0.0,0.0,0.029678540520700077,6.134456792916335e-05,0.002097113069673134
-39.141925877700004,-1305.6341089708137,0.0,0.0,0.02962026049478306,6.18083027377225e-05,0.0020472193976261476
-39.0852805436,-1303.7446240091872,0.0,0.0,0.029363034541108602,6.185656676760607e-05,0.00197908909892658
-39.0286352094,-1301.8551390442253,0.0,0.0,0.028916830747785352,6.14986195111405e-05,0.0019393798422847662
-38.9719898753,-1299.9656540825988,0.0,0.0,0.028283616883704732,6.072711080600788e-05,0.0019112728600996509
-38.9153445412,-1298.0761691209725,0.0,0.0,0.0274763167013626,5.9558386243826e-05,0.0018686025301905974
-38.8586992071,-1296.1866841593462,0.0,0.0,0.026544155887135715,5.808905715014289e-05,0.0018156196679403526
-38.802053873,-1294.2971991977197,0.0,0.0,0.025547878234693663,5.644508713432594e-05,0.0017627405236246144
-38.7454085388,-1292.4077142327578,0.0,0.0,0.024558082481499436,5.477936477445464e-05,0.001712973331882706
-38.688763204699995,-1290.5182292711313,0.0,0.0,0.023645881812768017,5.3251831264864325e-05,0.001666184447802088
-38.6321178706,-1288.628744309505,0.0,0.0,0.022890880535249902,5.204786008696958e-05,0.0016170437905354855
-38.5754725365,-1286.7392593478787,0.0,0.0,0.02234871416230208,5.130483888974667e-05,0.0015613479720125573
-38.5188272023,-1284.8497743829168,0.0,0.0,0.022058293040053238,5.112648224654933e-05,0.001505401497643379
-38.4621818682,-1282.9602894212903,0.0,0.0,0.02205066733241885,5.160181142377278e-05,0.001453511493190681
-38.4055365341,-1281.070804459664,0.0,0.0,0.02233337013396409,5.276740901712141e-05,0.0013902264807479122
-38.3488912,-1279.1813194980375,0.0,0.0,0.022922346053064837,5.468097509511026e-05,0.0012970005569149859
-38.2922458659,-1277.2918345364114,0.0,0.0,0.02381494815780282,5.735731181680248e-05,0.001164787329955558
-38.2356005317,-1275.4023495714493,0.0,0.0,0.02502594513059471,6.085370448888451e-05,0.0009969152689703852
-38.1789551976,-1273.5128646098228,0.0,0.0,0.026584029790711883,6.526343539991931e-05,0.0008377671574195877
-38.1223098635,-1271.6233796481965,0.0,0.0,0.02852985210164083,7.071257732641843e-05,0.000728626621399659
-38.065664529399996,-1269.7338946865702,0.0,0.0,0.030860666893837877,7.722303712197997e-05,0.0006512164486134901
-38.0090191953,-1267.844409724944,0.0,0.0,0.03337166213360285,8.430685952877238e-05,0.0005779813545615309
-37.9523738611,-1265.9549247599819,0.0,0.0,0.03597054428203114,9.174370878189917e-05,0.000508069357842751
-37.895728527,-1264.0654397983558,0.0,0.0,0.03851644184219296,9.917957372506298e-05,0.00044628869357083524
-37.8390831929,-1262.1759548367293,0.0,0.0,0.04090674085113753,0.00010634617691400729,0.0003923200740228687
-37.7824378588,-1260.286469875103,0.0,0.0,0.04305204929688554,0.00011299965547784154,0.00034389690818870783
-37.7257925247,-1258.3969849134764,0.0,0.0,0.04504263319008201,0.00011936255994386581,0.0002962771934799321
-37.6691471905,-1256.5074999485146,0.0,0.0,0.046890069826752104,0.00012545611738913801,0.0002491333273581483
-37.6125018564,-1254.6180149868883,0.0,0.0,0.04863165081501421,0.000131371886910681,0.00022312752286165354
-37.5558565223,-1252.7285300252618,0.0,0.0,0.050285161549985545,0.00013715127545781887,0.00023539810619879346
-37.4992111882,-1250.8390450636355,0.0,0.0,0.051861969580219956,0.00014281995638684348,0.0002648953428714424
-37.442565854,-1248.9495600986736,0.0,0.0,0.05336138519895338,0.0001483713741191668,0.00028697118139267384
-37.3859205199,-1247.060075137047,0.0,0.0,0.05469136173522773,0.00015354266844486806,0.00030441545638043945
-37.3292751858,-1245.1705901754208,0.0,0.0,0.05590048467645715,0.00015845899498328453,0.0003250083730425439
-37.2726298517,-1243.2811052137945,0.0,0.0,0.05716270489076005,0.0001636085345031961,0.0003475961437613433
-37.2159845176,-1241.391620252168,0.0,0.0,0.05851072695134255,0.00016909100786942366,0.00037092170657714165
-37.1593391834,-1239.502135287206,0.0,0.0,0.0599545004316763,0.00017494358948965977,0.00040286016560515795
-37.102693849299996,-1237.6126503255796,0.0,0.0,0.0614749725276451,0.0001811193146456782,0.0004498476553637274
-37.0460485152,-1235.7231653639533,0.0,0.0,0.06309829957937539,0.000187703400902408,0.0005021736165453709
-36.9894031811,-1233.833680402327,0.0,0.0,0.06484377705373046,0.00019476357298763787,0.000549024660642086
-36.932757847,-1231.9441954407005,0.0,0.0,0.06665586742697288,0.00020214385709141884,0.0005929596981647438
-36.8761125128,-1230.0547104757386,0.0,0.0,0.06848568929146648,0.00020970219302184577,0.0006379821349682522
-36.819467178699995,-1228.165225514112,0.0,0.0,0.07035632969138039,0.0002175131353437125,0.0006796180137213609
-36.7628218446,-1226.2757405524858,0.0,0.0,0.07225931894282488,0.00022555572081132987,0.0007253638719383507
