frequency,parallel,perpendicular
-978.3545919999999,264.10496182,246.95236610999999
-978.094648,274.0681295,257.94385
-977.834704,274.0681295,257.94385
-977.57476,274.0681295,257.94385
-977.314816,272.2355191,251.6091463
-977.0548719999999,272.2355191,251.6091463
-976.7949279999999,277.72792749999996,221.4776649
-976.534984,277.72792749999996,221.4776649
-976.27504,275.6283108,215.7608491
-976.015096,275.6283108,215.7608491
-975.755152,309.78756218999996,264.04325040000003
-975.4952079999999,309.78756218999996,264.04325040000003
-975.2352639999999,280.41751009999996,252.51817050000002
-974.97532,280.41751009999996,252.51817050000002
-974.715376,280.41751009999996,252.51817050000002
-974.455432,262.3358604,254.2927802
-974.195488,262.3358604,254.2927802
-973.9355439999999,270.07735929999996,252.8843391
-973.6755999999999,270.07735929999996,252.8843391
-973.415656,287.90707949999995,254.94248419000002
-973.155712,287.90707949999995,254.94248419000002
-972.895768,298.1303891,249.1341601
-972.635824,298.1303891,249.1341601
-972.3758799999999,291.84091209999997,254.32288950999995
-972.1159359999999,291.84091209999997,254.32288950999995
-971.855992,291.84091209999997,254.32288950999995
-971.596048,267.13003069999996,277.38386940000004
-971.336104,267.13003069999996,277.38386940000004
-971.07616,244.82649,258.1085913
-970.8162159999999,244.82649,258.1085913
-970.5562719999999,255.63511219900002,214.4404208
-970.2963279999999,255.63511219900002,214.4404208
-970.036384,281.0195572,255.691569
-969.77644,281.0195572,255.691569
-969.516496,281.0195572,255.691569
-969.2565519999999,296.3161792,250.68787869999997
-968.9966079999999,296.3161792,250.68787869999997
-968.7366639999999,261.07945251,248.0745156
-968.47672,261.07945251,248.0745156
-968.216776,284.50925,241.99941139000003
-967.956832,284.50925,241.99941139000003
-967.696888,267.805661,252.19096089999996
-967.4369439999999,267.805661,252.19096089999996
-967.1769999999999,262.83542610000006,257.31087140000005
-966.917056,262.83542610000006,257.31087140000005
-966.657112,262.83542610000006,257.31087140000005
-966.397168,296.42492847999995,237.68219279
-966.137224,296.42492847999995,237.68219279
-965.8772799999999,273.16206980000004,243.96710920999996
-965.6173359999999,273.16206980000004,243.96710920999996
-965.357392,260.7472101,238.35455272000002
-965.097448,260.7472101,238.35455272000002
-964.837504,234.6597609,235.41508851
-964.57756,234.6597609,235.41508851
-964.3176159999999,293.7182805,229.20666820000005
-964.0576719999999,293.7182805,229.20666820000005
-963.797728,293.7182805,229.20666820000005
-963.537784,294.2147001,216.701812103
-963.27784,294.2147001,216.701812103
-963.017896,280.17803078000003,269.1895912
-962.7579519999999,280.17803078000003,269.1895912
-962.4980079999999,285.60958833,262.84777119999995
-962.238064,285.60958833,262.84777119999995
-961.97812,284.3711318,251.18517099999997
-961.718176,284.3711318,251.18517099999997
-961.458232,273.4008207,250.43083000000001
-961.1982879999999,273.4008207,250.43083000000001
-960.9383439999999,273.4008207,250.43083000000001
-960.6784,294.69726928999995,238.62234039999998
-960.418456,294.69726928999995,238.62234039999998
-960.158512,257.060678989,280.8138593
-959.898568,257.060678989,280.8138593
-959.6386239999999,305.1570697,236.3437105
-959.3786799999999,305.1570697,236.3437105
-959.1187359999999,256.58698211,262.1301803
-958.858792,256.58698211,262.1301803
-958.598848,290.1502506,282.1883492
-958.338904,290.1502506,282.1883492
-958.0789599999999,290.1502506,282.1883492
-957.8190159999999,283.7133096,243.82937710000002
-957.559072,283.7133096,243.82937710000002
-957.299128,301.5433511,261.9047697
-957.039184,301.5433511,261.9047697
-956.77924,321.6399709,256.7627915
-956.5192959999999,321.6399709,256.7627915
-956.2593519999999,289.2919387,260.42094130000004
-955.9994079999999,289.2919387,260.42094130000004
-955.739464,275.29947860000004,288.61249989999993
-955.47952,275.29947860000004,288.61249989999993
-955.219576,275.29947860000004,288.61249989999993
-954.9596319999999,311.1293296,243.33749200999998
-954.6996879999999,311.1293296,243.33749200999998
-954.4397439999999,279.49263929999995,268.72882789999994
-954.1798,279.49263929999995,268.72882789999994
-953.919856,345.98913,255.9869467
-953.659912,345.98913,255.9869467
-953.399968,258.3780413,253.7785514
-953.1400239999999,258.3780413,253.7785514
-952.8800799999999,298.58217099999996,255.17010050000002
-952.620136,298.58217099999996,255.17010050000002
-952.360192,298.58217099999996,255.17010050000002
-952.100248,286.5454214999999,254.1611982
-951.840304,286.5454214999999,254.1611982
-951.5803599999999,317.9752917,245.99162080000002
-951.3204159999999,317.9752917,245.99162080000002
-951.060472,330.0720403,283.47802638
-950.800528,330.0720403,283.47802638
-950.540584,302.7523385,237.40328649
-950.28064,302.7523385,237.40328649
-950.0206959999999,317.19831050000005,291.19435910000004
-949.7607519999999,317.19831050000005,291.19435910000004
-949.500808,317.19831050000005,291.19435910000004
-949.240864,302.36133980000005,263.62438129000003
-948.98092,302.36133980000005,263.62438129000003
-948.720976,289.39109110000004,243.39829949999998
-948.4610319999999,289.39109110000004,243.39829949999998
-948.2010879999999,320.41675900000007,260.16876829
-947.941144,320.41675900000007,260.16876829
-947.6812,292.38421,224.76027930000004
-947.421256,292.38421,224.76027930000004
-947.161312,321.4141403999999,237.21848029999998
-946.9013679999999,321.4141403999999,237.21848029999998
-946.6414239999999,321.4141403999999,237.21848029999998
-946.38148,304.7107683000001,275.4099854
-946.121536,304.7107683000001,275.4099854
-945.861592,296.40734858999997,234.96222010000002
-945.601648,296.40734858999997,234.96222010000002
-945.3417039999999,301.30384038999995,251.86892828999999
-945.0817599999999,301.30384038999995,251.86892828999999
-944.8218159999999,302.948501,240.39959106999996
-944.561872,302.948501,240.39959106999996
-944.301928,323.8968693,290.3092201
-944.041984,323.8968693,290.3092201
-943.7820399999999,323.8968693,290.3092201
-943.5220959999999,294.39355771000004,245.13057553
-943.262152,294.39355771000004,245.13057553
-943.002208,280.82368019999996,281.56965990000003
-942.742264,280.82368019999996,281.56965990000003
-942.48232,316.85308470000007,287.27111879999995
-942.2223759999999,316.85308470000007,287.27111879999995
-941.9624319999999,287.68945940000003,282.5417894
-941.7024879999999,287.68945940000003,282.5417894
-941.442544,329.3127302000001,293.15199889999997
-941.1826,329.3127302000001,293.15199889999997
-940.922656,329.3127302000001,293.15199889999997
-940.6627119999999,295.40935079999997,297.3251211
-940.4027679999999,295.40935079999997,297.3251211
-940.1428239999999,297.44983030000003,283.38299109999997
-939.88288,297.44983030000003,283.38299109999997
-939.622936,344.66910000000007,256.7113499
-939.362992,344.66910000000007,256.7113499
-939.103048,326.3136404,247.74486849999997
-938.8431039999999,326.3136404,247.74486849999997
-938.5831599999999,356.19538719999997,256.05521990000005
-938.323216,356.19538719999997,256.05521990000005
-938.063272,356.19538719999997,256.05521990000005
-937.803328,314.9587594,253.22151259999998
-937.543384,314.9587594,253.22151259999998
-937.2834399999999,319.45517850000005,286.34080142000005
-937.0234959999999,319.45517850000005,286.34080142000005
