frequency,intensity_parallel,intensity_perpendicular,intensity_unpolarized,intensity_isotropic
546.3482381551778,2.5793851076256933e-05,8.820231274107882e-06,3.461408235036481e-05,0.001710223104720532
546.5907362635467,2.4786111787874428e-05,8.61508365807644e-06,3.340119544595087e-05,0.0016457747049703193
546.8332343719156,2.379684201358387e-05,8.41338408022689e-06,3.221022609381076e-05,0.0015825879924765349
547.0757324802845,2.2840233207868386e-05,8.219160319104311e-06,3.1059393526972695e-05,0.0015216027266506658
547.3182305886534,2.1926826376807658e-05,8.034675612000864e-06,2.996150198880852e-05,0.001463479048181899
547.5607286970223,2.1062631776551504e-05,7.860642194137724e-06,2.8923273970689228e-05,0.001408556546176872
547.8032268053913,2.024969213816811e-05,7.696449705498448e-06,2.794614184366656e-05,0.0013569019336464438
548.0457249137603,1.9487891488979146e-05,7.541122408540013e-06,2.7029013897519157e-05,0.0013084482540224737
548.2882230221292,1.8776172115150624e-05,7.393857024140935e-06,2.617002913929156e-05,0.0012630876197636453
548.530721130498,1.811333959883485e-05,7.253975899001451e-06,2.53673154978363e-05,0.0012207203137077683
548.773219238867,1.7498153431865223e-05,7.120863510041561e-06,2.4619016941906783e-05,0.0011812590683834142
549.0157173472359,1.692929959176547e-05,6.99356026139023e-06,2.3922859853155697e-05,0.0011446146211172008
549.2582154556048,1.640493432150306e-05,6.8706863941375045e-06,2.3275620715640566e-05,0.0011106633840418695
549.5007135639737,1.5921718996379648e-05,6.7501419790652655e-06,2.2671860975444914e-05,0.0010791799677479078
549.7432116723426,1.5475267822050466e-05,6.6295572623406896e-06,2.2104825084391157e-05,0.0010498714981448391
549.9857097807115,1.5060317342574736e-05,6.506735373538015e-06,2.156705271611275e-05,0.0010223958360115165
550.2282078890804,1.467213511237564e-05,6.380257476238414e-06,2.1052392588614054e-05,0.0009964561216644343
550.4707059974495,1.430722520074525e-05,6.249723474394601e-06,2.055694867513985e-05,0.0009718450287659019
550.7132041058184,1.3964385633943426e-05,6.1159148233302415e-06,2.008030045727367e-05,0.0009485082564732963
550.9557022141872,1.3643974714659286e-05,5.980370934067125e-06,1.962434564872641e-05,0.0009264910283234251
551.1982003225562,1.3347199771171242e-05,5.84507816131711e-06,1.9192277932488353e-05,0.0009058920346668591
551.4406984309251,1.3075065332299345e-05,5.71221077582464e-06,1.8787276108123986e-05,0.0008868009490578251
551.683196539294,1.2827686032756254e-05,5.583730813037452e-06,1.8411416845793706e-05,0.0008692538136707164
551.9256946476629,1.2604688544743335e-05,5.461727662427311e-06,1.8066416207170646e-05,0.0008532677488694674
552.1681927560318,1.2405734119808769e-05,5.3482241709151e-06,1.7753958290723867e-05,0.0008388677069543635
552.4106908644007,1.2229979759702569e-05,5.244925239246229e-06,1.7474904998948796e-05,0.0008260468008080825
552.6531889727697,1.2076676367586441e-05,5.153042041831803e-06,1.7229718409418245e-05,0.0008147959463234396
552.8956870811386,1.194409794164066e-05,5.072913770020466e-06,1.7017011711661128e-05,0.0008050303792790396
553.1381851895076,1.1828998793693095e-05,5.003750948792487e-06,1.683274974248558e-05,0.000796551778395429
553.3806832978764,1.1727354897451045e-05,4.943983409805646e-06,1.667133830725669e-05,0.0007890993688669161
553.6231814062454,1.1634759469517509e-05,4.891503807967995e-06,1.6526263277485503e-05,0.0007823764176065854
553.8656795146144,1.1548064771724144e-05,4.844508920586174e-06,1.639257369231032e-05,0.0007761644124743253
