frequency,frequency_cm,dos,dos_weighted,dos_convoluted,dos_weighted_convoluted,2w_dos_weighted
-25.229936412,-841.5800911175692,0.0,0.0,0.03979767002120693,0.000935084647370669,0.08106446864467529
-25.1968262593,-840.4756553048444,0.0,0.0,0.04381423991419172,0.0010357689624648603,0.07119925244962212
-25.163716106499997,-839.3712194887838,0.0,0.0,0.04833037681899675,0.0011495393497729118,0.04891737919214246
-25.130605953699998,-838.2667836727234,0.0,0.0,0.05576069990044681,0.0013344110495591536,0.04023558234397708
-25.097495801,-837.1623478599987,0.0,0.0,0.06533764006750727,0.0015732014645745151,0.04101601091633449
-25.064385648200002,-836.0579120439382,0.0,0.0,0.0783808044812012,0.0018988557233665542,0.04162272162943267
-25.0312754954,-834.9534762278777,0.0,0.0,0.09345469766658908,0.002277959149028137,0.04164925246694993
-24.9981653426,-833.8490404118172,0.0,0.0,0.10304119054041141,0.002527081324773916,0.04259387775225496
-24.9650551899,-832.7446045990924,0.0,0.0,0.1131848956246831,0.0027929417450552074,0.04411274144964686
-24.9319450371,-831.640168783032,0.0,0.0,0.12191468438651766,0.0030268819016125107,0.04583758553357489
-24.8988348843,-830.5357329669715,0.0,0.0,0.12823538333394144,0.003203423100928073,0.04922985383325737
-24.8657247316,-829.4312971542467,0.0,0.0,0.13429543483770956,0.003375483272028901,0.05501456419460455
-24.832614578799998,-828.3268613381862,0.0,0.0,0.13992242744848982,0.003538601368760148,0.05896418961244764
-24.799504426,-827.2224255221257,0.0,0.0,0.14469102138741213,0.003681774147170064,0.05740091371640174
-24.7663942732,-826.1179897060654,0.0,0.0,0.14986785884869866,0.003837047958991683,0.05422174285558907
-24.7332841205,-825.0135538933405,0.0,0.0,0.15441482878163795,0.003977888667458325,0.0538699625638517
-24.7001739677,-823.90911807728,0.0,0.0,0.15778413880388853,0.0040898122321883865,0.05494604908109237
-24.667063814899997,-822.8046822612196,0.0,0.0,0.1604816874936275,0.004185463905615041,0.05503911478685618
-24.6339536622,-821.7002464484948,0.0,0.0,0.1639543644115773,0.004302508297627296,0.053775912324649434
-24.6008435094,-820.5958106324343,0.0,0.0,0.16634700571305838,0.004392334569667816,0.051462915823650375
-24.5677333566,-819.491374816374,0.0,0.0,0.16763473711010385,0.004453761392719656,0.04906294640338295
-24.5346232038,-818.3869390003134,0.0,0.0,0.1684510080933818,0.004503191651609912,0.04744105812439234
-24.501513051099998,-817.2825031875885,0.0,0.0,0.16916007138570543,0.004550198012199696,0.0463370082968286
-24.4684028983,-816.1780673715282,0.0,0.0,0.1698521856646544,0.0045971752027873765,0.04527448549052061
-24.4352927455,-815.0736315554677,0.0,0.0,0.17053728313255032,0.004644387488654814,0.044083186366341065
-24.4021825928,-813.9691957427428,0.0,0.0,0.17080133977649367,0.004680489425197133,0.04277892979842914
-24.36907244,-812.8647599266825,0.0,0.0,0.17092282938923664,0.004712951912316669,0.04182220729259737
-24.335962287199997,-811.7603241106219,0.0,0.0,0.17104650125457066,0.004745720760234852,0.04159274443863136
-24.3028521344,-810.6558882945615,0.0,0.0,0.1704022805870733,0.004757284565376442,0.041658730456079825
-24.2697419817,-809.5514524818368,0.0,0.0,0.16802696634711356,0.0047201655707573035,0.04152323473839288
-24.236631828900002,-808.4470166657763,0.0,0.0,0.16549038477414513,0.00467785722759374,0.04128967400739864
-24.2035216761,-807.3425808497158,0.0,0.0,0.16294789412039576,0.004634689926975602,0.041083022505952055
-24.1704115233,-806.2381450336553,0.0,0.0,0.16036351510969205,0.004589621644999293,0.04048725882059858
-24.1373013706,-805.1337092209305,0.0,0.0,0.15764971153923574,0.0045401001476493225,0.03926516617144988
-24.1041912178,-804.0292734048701,0.0,0.0,0.15468701282651745,0.004482585598873581,0.038485921451598314
-24.071081065,-802.9248375888096,0.0,0.0,0.1513496888952811,0.0044132690576355015,0.039079247163538174
-24.037970912299997,-801.8204017760847,0.0,0.0,0.14792900976596304,0.004340484589673836,0.04000044788844925
-24.004860759499998,-800.7159659600243,0.0,0.0,0.14441916322381187,0.004264004451757317,0.040021839331747
-23.9717506067,-799.6115301439638,0.0,0.0,0.14083810004311367,0.004184301327033225,0.03927686554118301
-23.9386404539,-798.5070943279035,0.0,0.0,0.13726463033424013,0.0041036787229010415,0.0382052766779695
-23.9055303012,-797.4026585151786,0.0,0.0,0.13372994401069835,0.004023066604840276,0.0370674648410087
-23.8724201484,-796.2982226991181,0.0,0.0,0.13027760509931915,0.00394379383926532,0.03604617723687762
-23.839309995599997,-795.1937868830576,0.0,0.0,0.12693804021060945,0.003866822351364479,0.03518266481677038
-23.8061998429,-794.0893510703329,0.0,0.0,0.12367358376926235,0.003791050808781687,0.034479041553434925
-23.7730896901,-792.9849152542724,0.0,0.0,0.12046590780252431,0.0037159450672200347,0.03392377340086857
-23.7399795373,-791.8804794382121,0.0,0.0,0.11731323469326417,0.0036414701056996226,0.0334986189422075
-23.7068693845,-790.7760436221515,0.0,0.0,0.11422968212555912,0.00356808660388145,0.03317299034984097
-23.6737592318,-789.6716078094266,0.0,0.0,0.11116898170806076,0.0034943713827143277,0.03290173288541106
-23.640649079,-788.5671719933662,0.0,0.0,0.10816096086589835,0.0034212707290124135,0.032595109137912345
-23.6075389262,-787.4627361773058,0.0,0.0,0.10524730983701773,0.003350131249509328,0.03219169095224853
-23.5744287735,-786.3583003645809,0.0,0.0,0.10243687986886875,0.0032812811865262,0.03179553333823175
-23.5413186207,-785.2538645485205,0.0,0.0,0.0997141339884678,0.003214270395134224,0.03152145159765432
-23.508208467899998,-784.14942873246,0.0,0.0,0.09705915027268108,0.0031484948181065755,0.03135075465268191
-23.4750983151,-783.0449929163996,0.0,0.0,0.09446489568166241,0.003083756025506889,0.03125753017026519
-23.4419881624,-781.9405571036748,0.0,0.0,0.09194165058859861,0.003020419603215551,0.03132622171266682
-23.408878009600002,-780.8361212876144,0.0,0.0,0.08949434368778453,0.0029586838159083606,0.031491713930620106
-23.3757678568,-779.7316854715539,0.0,0.0,0.08711631968437916,0.002898365828341495,0.03096433412860014
-23.3426577041,-778.627249658829,0.0,0.0,0.08480045211507448,0.002839260523809895,0.029145422797790026
-23.3095475513,-777.5228138427686,0.0,0.0,0.08256383964547469,0.0027819713719632235,0.02700224795502333
-23.2764373985,-776.4183780267082,0.0,0.0,0.08039995765758218,0.0027263175937968574,0.025599254747221606
-23.2433272457,-775.3139422106477,0.0,0.0,0.078304612033844,0.0026721940067189905,0.024719036676725273
-23.210217092969998,-774.2095063969222,0.0,0.0,0.07627952971084824,0.0026196964453098527,0.02391616771776339
-23.177106940199998,-773.1050705818624,0.0,0.0,0.07432898593785459,0.0025690110392306976,0.023164005479559015
-23.14399678742,-772.0006347664691,0.0,0.0,0.07245293632186295,0.0025201774956747866,0.022519666331488778
-23.11088663465,-770.8961989514094,0.0,0.0,0.07064366601535928,0.0024729665805466013,0.02194605584526365
-23.07777648188,-769.7917631363496,0.0,0.0,0.06888803521653912,0.0024269509159504606,0.02139363182642106
-23.04466632911,-768.6873273212898,0.0,0.0,0.06717580711942364,0.002381795005787041,0.020862195644871618
-23.01155617634,-767.5828915062301,0.0,0.0,0.06550555802033255,0.002337470130556499,0.0203610476370642
-22.97844602357,-766.4784556911703,0.0,0.0,0.06388318638835072,0.0022942105814263898,0.019886743233740678
-22.94533587079,-765.374019875777,0.0,0.0,0.062314187123050466,0.002252241825169388,0.019435375221524477
-22.91222571802,-764.2695840607172,0.0,0.0,0.06079696210933973,0.002211535833759891,0.01901458760582691
-22.87911556525,-763.1651482456574,0.0,0.0,0.05932308147580728,0.002171812329156706,0.018631806334428996
