frequency_cm,intensity_raman_unpolarized
-685.856,0.0025250142011507
-685.681,0.0026462893214504
-685.506,0.0033791886684123
-685.331,0.0018378117883447
-685.156,0.0027316647890661
-684.981,0.0021681168200422
-684.807,0.0025357210617171
-684.632,0.0025758195764903
-684.457,0.003549099641017
-684.282,0.0034712821251619
-684.107,0.0031472052946082
-683.932,0.0041219552937317
-683.757,0.0037195009722384
-683.583,0.0015740575319558
-683.409,0.0033177462391829
-683.234,0.0013311573069286
-683.059,0.0034187973951955
-682.884,0.0036463017291592
-682.71,0.0029197007704356
-682.535,0.0025159166983255
-682.36,0.0034885671712999
-682.185,0.0038546318619103
-682.01,0.0010986142433533
-681.837,0.0036119416275398
-681.662,0.0016679706224166
-681.487,0.0020377441969173
-681.312,0.0045113232409673
-681.138,0.0040654815021239
-680.963,0.0034166278721609
-680.788,0.0039458157395654
-680.613,0.003665896292103
-680.44,0.0035852092843576
-680.265,0.0037477028695996
-680.09,0.0010353523706216
-679.915,0.002617807436547
-679.741,0.0039962013238005
-679.566,0.0037552606311513
-679.392,0.0038802446353413
-679.217,0.0026666534697176
-679.043,0.0022588107194983
-678.868,0.0028297766465117
-678.693,0.0039658299034047
-678.519,0.0028743538207075
-678.345,0.0030398561307752
-678.17,0.0046573013653945
-677.996,0.0028379641898246
-677.821,0.0026759607729905
-677.647,0.0037311174118993
-677.473,0.0025603540689591
-677.298,0.0026812092079454
-677.123,0.0039039678732798
-676.949,0.0039419670521129
-676.775,0.0040231436576394
-676.6,0.0028486012437144
-676.426,0.003741614281809
-676.251,0.0043137699656681
-676.078,0.0033414694771215
-675.903,0.0036253779862253
-675.728,0.0041533762869931
-675.554,0.0034642143418091
-675.38,0.0039136951578662
-675.205,0.0034290142775629
-675.031,0.0034309738099409
-674.856,0.0030700175605143
-674.683,0.0033111680536113
-674.508,0.0029884209736744
-674.333,0.0043693341781815
-674.159,0.0032749187969173
-673.985,0.0040067681905958
-673.811,0.0022653189081844
-673.636,0.0040894143503013
-673.463,0.0025113680420174
-673.288,0.0040607928520446
-673.114,0.0027582571384771
-672.94,0.0046241308304118
-672.766,0.0039339893092478
-672.591,0.0043046026561663
-672.418,0.0040227936732115
-672.243,0.0031714183205368
-672.068,0.0026043014613937
-671.895,0.0041484776462572
-671.721,0.0034186574014244
-671.546,0.0030952801593085
-671.373,0.0033847169007005
-671.198,0.004398305660866
-671.023,0.0044789226717258
-670.85,0.0031435664076035
-670.676,0.0029430040270608
-670.501,0.0037943793797355
-670.328,0.0026190671902782
-670.153,0.0040003999956808
-669.979,0.0044503007930513
-669.805,0.0049375707972847
-669.631,0.0046128639947609
-669.457,0.0040448373663144
-669.283,0.0036012347669734
-669.109,0.0042942457800277
-668.935,0.0034028419094653
-668.761,0.0040943829879228
-668.587,0.0034472089027955
-668.413,0.0019065319915835
-668.238,0.0054763459555044
-668.065,0.0042215365151474
-667.891,0.0033318821863063
-667.717,0.0043047426499374
-667.543,0.0045910302923147
-667.37,0.0019147195348963
-667.195,0.0038251004041413
-667.021,0.0043923574472644
-666.847,0.0050421206563219
-666.673,0.0053260291654257
-666.5,0.0033824777611981
-666.325,0.0051705337470688
-666.152,0.0035896183273125
-665.978,0.0045231496712848
-665.804,0.0036743636327492
-665.63,0.0049307826210563
-665.457,0.0035543482661807
-665.282,0.0044468717064943
-665.108,0.0040865452388288
-664.935,0.0037212501335418
-664.76,0.0053440138000016
-664.587,0.0044955077490082
-664.413,0.0051859992546001
-664.24,0.002916691665192
-664.065,0.0031594518964481
-663.892,0.0039740876338121
-663.718,0.0048307114214417
-663.544,0.0029660972930293
-663.37,0.0043839597230859
-663.197,0.0042641543471742
-663.024,0.0049535958994826
-662.849,0.0053197309673964
-662.676,0.0038656187100189
-662.502,0.0043935470139012
-662.329,0.0060964377130218
-662.154,0.0045559002249541
-661.981,0.0055304402334209
-661.807,0.0051689241991187
-661.634,0.0060631971811535
-661.46,0.0028217289067611
-661.286,0.0047692689922123
-661.113,0.0051335145246337
-660.939,0.0052167902758914
-660.766,0.0044471516940366
-660.592,0.0057470280965794
-660.418,0.0056679506367841
-660.244,0.003802636729725
-660.071,0.0048601028854396
-659.898,0.0042934058174009
-659.724,0.0034429402340296
-659.551,0.0046207717407404
-659.376,0.0043375632004923
-659.203,0.0058392615471001
-659.03,0.0056391191478708
-658.856,0.0050326033623923
-658.683,0.0049920850565146
-658.51,0.0034956353350705
-658.336,0.0039446961698142
-658.163,0.0052417030804667
-657.988,0.0041071193777527
-657.815,0.0055689990069207
-657.642,0.0069881215711264
-657.468,0.0054923710577023
-657.295,0.0056151159223899
-657.122,0.0056976920852098
-656.948,0.0056584333428545
-656.775,0.0045618488189735
-656.602,0.0068340957069485
-656.428,0.0061509519722517
-656.255,0.0059482900655599
-656.081,0.0059885287643132
-655.907,0.0043305650336072
-655.734,0.0044099924778303
-655.561,0.004817275443174
-655.387,0.0059546582604748
-655.214,0.0053084641317454
-655.041,0.0046204217563126
-654.867,0.0051884483847591
-654.694,0.0058016123526949
-654.521,0.005919878177542
-654.348,0.0056056686253458
-654.174,0.0070594308982954
-654.001,0.0041433690148645
-653.828,0.0054413558819149
-653.655,0.0061335969292281
-653.481,0.0058487088441442
-653.308,0.0059736928483342
-653.135,0.0065402503030195
-652.961,0.0059360436539289
-652.788,0.0053691365952336
-652.615,0.0065054002232011
-652.442,0.0060228888659326
-652.268,0.0056176350494346
-652.095,0.0055017483578608
-651.922,0.0072005803788723
-651.75,0.0062312886151514
-651.577,0.0049328821472054
-651.403,0.0060292566804297
-651.23,0.0049793486666847
-651.057,0.0068887495795317
-650.884,0.0063596320894306
-650.711,0.0051865592296846
-650.537,0.0033207553444265
-650.364,0.0068908494860986
-650.191,0.0053985980561171
-650.018,0.0080720393216452
-649.846,0.0050305738331287
-649.672,0.007506882185089
-649.499,0.0066161079060788
-649.326,0.0058045514610529
-649.153,0.0052389039658798
-648.98,0.0059320549727053
-648.807,0.0047566725961535
-648.633,0.0049997828118374
-648.461,0.0055734780467611
-648.288,0.0063049074591262
-648.115,0.0061007063817877
-647.942,0.0062632695834973
-647.769,0.0070350780688046
-647.595,0.0057415694807589
-647.422,0.0067150599163601
-647.25,0.006633673320177
-647.077,0.0063902127396474
-646.904,0.0072457869544114
-646.731,0.0065596341144709
-646.559,0.0051842497128788
-646.386,0.0074961749441047
-646.213,0.0067652355099386
-646.039,0.0079819053972735
-645.866,0.0074585257496995
